Code,Value,Census,Source,Source_Type,Parameter,Sub_Type,Unit
MI05GW01E09,155066,Minor Irrigation 41,Ground Water,Dugwell,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - 400-600 hrs,Number
MI05GW01E10,117126,Minor Irrigation 42,Ground Water,Dugwell,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - 600-800 hrs,Number
MI05GW01E11,39611,Minor Irrigation 43,Ground Water,Dugwell,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - 800-1000 hrs,Number
MI05GW01E12,16383,Minor Irrigation 44,Ground Water,Dugwell,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - >=1000 hrs,Number
MI05GW01F01,2775950.02,Minor Irrigation 45,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Culturable Command Area,Hactares
MI05GW01F02,411734.35,Minor Irrigation 46,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Irrigation potential created - Kharif,Hactares
MI05GW01F03,2580478.55,Minor Irrigation 47,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Irrigation potential created - Rabi,Hactares
MI05GW01F04,4626.29,Minor Irrigation 48,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Irrigation potential created - Perennial,Hactares
MI05GW01F05,79372.57,Minor Irrigation 49,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Irrigation potential created - Other,Hactares
MI05GW01G01,2878077.8,Minor Irrigation 50,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Culturable Command Area,Hactares
MI05GW01G02,424922.47,Minor Irrigation 51,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Irrigation potential created - Kharif,Hactares
MI05GW01G03,2674411.55,Minor Irrigation 52,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Irrigation potential created - Rabi,Hactares
MI05GW01G04,5305.49,Minor Irrigation 53,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Irrigation potential created - Perennial,Hactares
MI05GW01G05,80649.81,Minor Irrigation 54,Ground Water,Dugwell,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Irrigation potential created - Other,Hactares
MI05GW01H01,7088.62,Minor Irrigation 55,Ground Water,Dugwell,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Kharif,Hactares
MI05GW01H02,88720.15,Minor Irrigation 56,Ground Water,Dugwell,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Rabi,Hactares
MI05GW01H03,98.81,Minor Irrigation 57,Ground Water,Dugwell,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Perennial,Hactares
MI05GW01H04,701.05,Minor Irrigation 58,Ground Water,Dugwell,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Others,Hactares
MI05GW01H05,228521.19,Minor Irrigation 59,Ground Water,Dugwell,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Outside Command - Kharif,Hactares
MI05GW01H06,2315111.2,Minor Irrigation 60,Ground Water,Dugwell,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Outside Command - Rabi,Hactares
MI05GW01H07,2154.33,Minor Irrigation 61,Ground Water,Dugwell,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Outside Command - Perennial,Hactares
MI05GW01H08,49059.49,Minor Irrigation 62,Ground Water,Dugwell,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Outside Command - Others,Hactares
MI05GW01I01,7086.65,Minor Irrigation 63,Ground Water,Dugwell,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Kharif,Hactares
MI05GW01I02,88566.49,Minor Irrigation 64,Ground Water,Dugwell,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Rabi,Hactares
MI05GW01I03,98.81,Minor Irrigation 65,Ground Water,Dugwell,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Perennial,Hactares
MI05GW01I04,699.8,Minor Irrigation 66,Ground Water,Dugwell,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Others,Hactares
MI05GW01I05,228134.45,Minor Irrigation 67,Ground Water,Dugwell,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Outside Command - Kharif,Hactares
MI05GW01I06,2311474.17,Minor Irrigation 68,Ground Water,Dugwell,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Outside Command - Rabi,Hactares
MI05GW01I07,2153.71,Minor Irrigation 69,Ground Water,Dugwell,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Outside Command - Perennial,Hactares
MI05GW01I08,48983.92,Minor Irrigation 70,Ground Water,Dugwell,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Outside Command - Others,Hactares
