Value,Parameter,Sub_Type
204241,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - 200-400 hrs
155066,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - 400-600 hrs
117126,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - 600-800 hrs
39611,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - 800-1000 hrs
16383,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - >=1000 hrs
2775950.02,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Culturable Command Area
411734.35,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Irrigation potential created - Kharif
2580478.55,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Irrigation potential created - Rabi
4626.29,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Irrigation potential created - Perennial
79372.57,Culturable Command Area and Season Wise Potential Created ,Through Dugwell Irrigation potential created - Other
2878077.8,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Culturable Command Area
424922.47,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Irrigation potential created - Kharif
2674411.55,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Irrigation potential created - Rabi
5305.49,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Irrigation potential created - Perennial
80649.81,Culturable Command Area and Season Wise Potential Created (In Use) ,Through Dugwell Irrigation potential created - Other
7088.62,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Kharif
88720.15,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Rabi
98.81,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Perennial
701.05,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Others
228521.19,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Outside Command - Kharif
2315111.2,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Outside Command - Rabi
2154.33,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Outside Command - Perennial
49059.49,Season Wise Potential Utilised ,Through Dugwell Area irrigated during 2013-2014 - Outside Command - Others
7086.65,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Kharif
88566.49,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Rabi
98.81,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Perennial
699.8,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Inside Command of Major/Medium Project - Others
228134.45,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Outside Command - Kharif
2311474.17,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Outside Command - Rabi
2153.71,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Outside Command - Perennial
48983.92,Season Wise Potential Utilised (In Use),Through Dugwell Area irrigated during 2013-2014 - Outside Command - Others
